time pstate1 pstate2 pstate3 pstate4 surv treat
9.22222222222222 0 0.2226 0.687 0.0904 0.2226 0
9.22916666666667 0 0.2226 0.687 0.0904 0.2226 0
9.23611111111111 0 0.2224 0.6872 0.0904 0.2224 0
9.24305555555556 0 0.2224 0.6872 0.0904 0.2224 0
9.25 0 0.2176 0.692 0.0904 0.2176 0
9.25694444444444 0 0.2176 0.692 0.0904 0.2176 0
9.26388888888889 0 0.2176 0.692 0.0904 0.2176 0
9.27083333333333 0 0.2176 0.692 0.0904 0.2176 0
9.27777777777778 0 0.2176 0.692 0.0904 0.2176 0
9.28472222222222 0 0.2176 0.692 0.0904 0.2176 0
9.29166666666667 0 0.2176 0.692 0.0904 0.2176 0
9.29861111111111 0 0.2176 0.692 0.0904 0.2176 0
9.30555555555556 0 0.2174 0.6922 0.0904 0.2174 0
9.3125 0 0.2174 0.6922 0.0904 0.2174 0
9.31944444444444 0 0.2174 0.6922 0.0904 0.2174 0
9.32638888888889 0 0.2174 0.6922 0.0904 0.2174 0
9.33333333333333 0 0.214 0.6956 0.0904 0.214 0
9.34027777777778 0 0.214 0.6956 0.0904 0.214 0
9.34722222222222 0 0.214 0.6956 0.0904 0.214 0
9.35416666666667 0 0.214 0.6956 0.0904 0.214 0
9.36111111111111 0 0.214 0.6956 0.0904 0.214 0
9.36805555555556 0 0.2138 0.6958 0.0904 0.2138 0
9.375 0 0.2138 0.6958 0.0904 0.2138 0
9.38194444444444 0 0.2138 0.6958 0.0904 0.2138 0
9.38888888888889 0 0.2138 0.6958 0.0904 0.2138 0
9.39583333333333 0 0.2136 0.696 0.0904 0.2136 0
9.40277777777778 0 0.2136 0.696 0.0904 0.2136 0
9.40972222222222 0 0.2136 0.696 0.0904 0.2136 0
9.41666666666667 0 0.2108 0.6988 0.0904 0.2108 0
9.42361111111111 0 0.2108 0.6988 0.0904 0.2108 0
9.43055555555556 0 0.2108 0.6988 0.0904 0.2108 0
9.4375 0 0.2108 0.6988 0.0904 0.2108 0
9.44444444444444 0 0.2108 0.6988 0.0904 0.2108 0
9.45138888888889 0 0.2108 0.6988 0.0904 0.2108 0
9.45833333333333 0 0.2106 0.699 0.0904 0.2106 0
9.46527777777778 0 0.2106 0.699 0.0904 0.2106 0
9.47222222222222 0 0.2106 0.699 0.0904 0.2106 0
9.47916666666667 0 0.2106 0.699 0.0904 0.2106 0
9.48611111111111 0 0.2106 0.699 0.0904 0.2106 0
9.49305555555556 0 0.2106 0.699 0.0904 0.2106 0
9.5 0 0.2064 0.7032 0.0904 0.2064 0
9.50694444444444 0 0.2064 0.7032 0.0904 0.2064 0
9.51388888888889 0 0.2064 0.7032 0.0904 0.2064 0
9.52083333333333 0 0.2062 0.7034 0.0904 0.2062 0
9.52777777777778 0 0.2062 0.7034 0.0904 0.2062 0
9.53472222222222 0 0.2062 0.7034 0.0904 0.2062 0
9.54166666666667 0 0.2062 0.7034 0.0904 0.2062 0
9.54861111111111 0 0.2062 0.7034 0.0904 0.2062 0
9.55555555555556 0 0.2062 0.7034 0.0904 0.2062 0
9.5625 0 0.206 0.7036 0.0904 0.206 0
9.56944444444444 0 0.2058 0.7038 0.0904 0.2058 0
9.57638888888889 0 0.2058 0.7038 0.0904 0.2058 0
9.58333333333333 0 0.202 0.7076 0.0904 0.202 0
9.59027777777778 0 0.202 0.7076 0.0904 0.202 0
9.59722222222222 0 0.202 0.7076 0.0904 0.202 0
9.60416666666667 0 0.2018 0.7078 0.0904 0.2018 0
9.61111111111111 0 0.2018 0.7078 0.0904 0.2018 0
9.61805555555556 0 0.2016 0.708 0.0904 0.2016 0
9.625 0 0.2014 0.7082 0.0904 0.2014 0
9.63194444444444 0 0.2014 0.7082 0.0904 0.2014 0
9.63888888888889 0 0.2014 0.7082 0.0904 0.2014 0
9.64583333333333 0 0.2014 0.7082 0.0904 0.2014 0
9.65277777777778 0 0.2014 0.7082 0.0904 0.2014 0
9.65972222222222 0 0.2014 0.7082 0.0904 0.2014 0
9.66666666666667 0 0.198 0.7116 0.0904 0.198 0
9.67361111111111 0 0.198 0.7116 0.0904 0.198 0
9.68055555555556 0 0.198 0.7116 0.0904 0.198 0
9.6875 0 0.198 0.7116 0.0904 0.198 0
9.69444444444444 0 0.198 0.7116 0.0904 0.198 0
9.70138888888889 0 0.198 0.7116 0.0904 0.198 0
9.70833333333333 0 0.198 0.7116 0.0904 0.198 0
9.71527777777778 0 0.1978 0.7118 0.0904 0.1978 0
9.72222222222222 0 0.1978 0.7118 0.0904 0.1978 0
9.72916666666667 0 0.1978 0.7118 0.0904 0.1978 0
9.73611111111111 0 0.1978 0.7118 0.0904 0.1978 0
9.74305555555556 0 0.1978 0.7118 0.0904 0.1978 0
9.75 0 0.1946 0.715 0.0904 0.1946 0
9.75694444444444 0 0.1946 0.715 0.0904 0.1946 0
9.76388888888889 0 0.1946 0.715 0.0904 0.1946 0
9.77083333333333 0 0.1946 0.715 0.0904 0.1946 0
9.77777777777778 0 0.1946 0.715 0.0904 0.1946 0
9.78472222222222 0 0.1946 0.715 0.0904 0.1946 0
9.79166666666667 0 0.1946 0.715 0.0904 0.1946 0
9.79861111111111 0 0.1942 0.7154 0.0904 0.1942 0
9.80555555555556 0 0.1942 0.7154 0.0904 0.1942 0
9.8125 0 0.194 0.7156 0.0904 0.194 0
9.81944444444444 0 0.194 0.7156 0.0904 0.194 0
9.82638888888889 0 0.194 0.7156 0.0904 0.194 0
9.83333333333333 0 0.1906 0.719 0.0904 0.1906 0
9.84027777777778 0 0.1906 0.719 0.0904 0.1906 0
9.84722222222222 0 0.1906 0.719 0.0904 0.1906 0
9.85416666666667 0 0.1906 0.719 0.0904 0.1906 0
9.86111111111111 0 0.1906 0.719 0.0904 0.1906 0
9.86805555555556 0 0.1906 0.719 0.0904 0.1906 0
9.875 0 0.1906 0.719 0.0904 0.1906 0
9.88194444444444 0 0.1902 0.7194 0.0904 0.1902 0
9.88888888888889 0 0.1902 0.7194 0.0904 0.1902 0
9.89583333333333 0 0.1902 0.7194 0.0904 0.1902 0
9.90277777777778 0 0.1902 0.7194 0.0904 0.1902 0
9.90972222222222 0 0.1902 0.7194 0.0904 0.1902 0
9.91666666666667 0 0.186 0.7236 0.0904 0.186 0
9.92361111111111 0 0.186 0.7236 0.0904 0.186 0
9.93055555555556 0 0.186 0.7236 0.0904 0.186 0
9.9375 0 0.186 0.7236 0.0904 0.186 0
9.94444444444444 0 0.186 0.7236 0.0904 0.186 0
9.95138888888889 0 0.186 0.7236 0.0904 0.186 0
9.95833333333333 0 0.186 0.7236 0.0904 0.186 0
9.96527777777778 0 0.186 0.7236 0.0904 0.186 0
9.97222222222222 0 0.186 0.7236 0.0904 0.186 0
9.97916666666667 0 0.186 0.7236 0.0904 0.186 0
9.98611111111111 0 0.1858 0.7238 0.0904 0.1858 0
9.99305555555556 0 0.1858 0.7238 0.0904 0.1858 0
10 0 0.1818 0.7278 0.0904 0.1818 0
10.0069444444444 0 0.1816 0.728 0.0904 0.1816 0
10.0138888888889 0 0.1816 0.728 0.0904 0.1816 0
10.0208333333333 0 0.1816 0.728 0.0904 0.1816 0
10.0277777777778 0 0.1814 0.7282 0.0904 0.1814 0
10.0347222222222 0 0.1812 0.7284 0.0904 0.1812 0
10.0416666666667 0 0.1812 0.7284 0.0904 0.1812 0
10.0486111111111 0 0.1812 0.7284 0.0904 0.1812 0
10.0555555555556 0 0.1812 0.7284 0.0904 0.1812 0
10.0625 0 0.1812 0.7284 0.0904 0.1812 0
10.0694444444444 0 0.1812 0.7284 0.0904 0.1812 0
10.0763888888889 0 0.1812 0.7284 0.0904 0.1812 0
10.0833333333333 0 0.1774 0.7322 0.0904 0.1774 0
10.0902777777778 0 0.1774 0.7322 0.0904 0.1774 0
10.0972222222222 0 0.1774 0.7322 0.0904 0.1774 0
10.1041666666667 0 0.1772 0.7324 0.0904 0.1772 0
10.1111111111111 0 0.1772 0.7324 0.0904 0.1772 0
10.1180555555556 0 0.1772 0.7324 0.0904 0.1772 0
10.125 0 0.1772 0.7324 0.0904 0.1772 0
10.1319444444444 0 0.1772 0.7324 0.0904 0.1772 0
10.1388888888889 0 0.177 0.7326 0.0904 0.177 0
10.1458333333333 0 0.1768 0.7328 0.0904 0.1768 0
10.1527777777778 0 0.1768 0.7328 0.0904 0.1768 0
10.1597222222222 0 0.1766 0.733 0.0904 0.1766 0
10.1666666666667 0 0.1742 0.7354 0.0904 0.1742 0
10.1736111111111 0 0.1742 0.7354 0.0904 0.1742 0
10.1805555555556 0 0.1742 0.7354 0.0904 0.1742 0
10.1875 0 0.1742 0.7354 0.0904 0.1742 0
10.1944444444444 0 0.1742 0.7354 0.0904 0.1742 0
10.2013888888889 0 0.174 0.7356 0.0904 0.174 0
10.2083333333333 0 0.174 0.7356 0.0904 0.174 0
10.2152777777778 0 0.174 0.7356 0.0904 0.174 0
10.2222222222222 0 0.174 0.7356 0.0904 0.174 0
10.2291666666667 0 0.174 0.7356 0.0904 0.174 0
10.2361111111111 0 0.174 0.7356 0.0904 0.174 0
10.2430555555556 0 0.174 0.7356 0.0904 0.174 0
10.25 0 0.1716 0.738 0.0904 0.1716 0
10.2569444444444 0 0.1714 0.7382 0.0904 0.1714 0
10.2638888888889 0 0.1712 0.7384 0.0904 0.1712 0
10.2708333333333 0 0.1712 0.7384 0.0904 0.1712 0
10.2777777777778 0 0.171 0.7386 0.0904 0.171 0
10.2847222222222 0 0.171 0.7386 0.0904 0.171 0
10.2916666666667 0 0.171 0.7386 0.0904 0.171 0
10.2986111111111 0 0.171 0.7386 0.0904 0.171 0
10.3055555555556 0 0.1708 0.7388 0.0904 0.1708 0
10.3125 0 0.1704 0.7392 0.0904 0.1704 0
10.3194444444444 0 0.1704 0.7392 0.0904 0.1704 0
10.3263888888889 0 0.1702 0.7394 0.0904 0.1702 0
10.3333333333333 0 0.1682 0.7414 0.0904 0.1682 0
10.3402777777778 0 0.1682 0.7414 0.0904 0.1682 0
10.3472222222222 0 0.1682 0.7414 0.0904 0.1682 0
10.3541666666667 0 0.168 0.7416 0.0904 0.168 0
10.3611111111111 0 0.168 0.7416 0.0904 0.168 0
10.3680555555556 0 0.168 0.7416 0.0904 0.168 0
10.375 0 0.168 0.7416 0.0904 0.168 0
10.3819444444444 0 0.168 0.7416 0.0904 0.168 0
10.3888888888889 0 0.168 0.7416 0.0904 0.168 0
10.3958333333333 0 0.168 0.7416 0.0904 0.168 0
10.4027777777778 0 0.1678 0.7418 0.0904 0.1678 0
10.4097222222222 0 0.1676 0.742 0.0904 0.1676 0
10.4166666666667 0 0.1654 0.7442 0.0904 0.1654 0
10.4236111111111 0 0.1654 0.7442 0.0904 0.1654 0
10.4305555555556 0 0.1654 0.7442 0.0904 0.1654 0
10.4375 0 0.1654 0.7442 0.0904 0.1654 0
10.4444444444444 0 0.1654 0.7442 0.0904 0.1654 0
10.4513888888889 0 0.1654 0.7442 0.0904 0.1654 0
10.4583333333333 0 0.1654 0.7442 0.0904 0.1654 0
10.4652777777778 0 0.1652 0.7444 0.0904 0.1652 0
10.4722222222222 0 0.1652 0.7444 0.0904 0.1652 0
10.4791666666667 0 0.1652 0.7444 0.0904 0.1652 0
10.4861111111111 0 0.1652 0.7444 0.0904 0.1652 0
10.4930555555556 0 0.1652 0.7444 0.0904 0.1652 0
10.5 0 0.162 0.7476 0.0904 0.162 0
10.5069444444444 0 0.162 0.7476 0.0904 0.162 0
10.5138888888889 0 0.162 0.7476 0.0904 0.162 0
10.5208333333333 0 0.162 0.7476 0.0904 0.162 0
10.5277777777778 0 0.1618 0.7478 0.0904 0.1618 0
10.5347222222222 0 0.1618 0.7478 0.0904 0.1618 0
10.5416666666667 0 0.1616 0.748 0.0904 0.1616 0
10.5486111111111 0 0.1616 0.748 0.0904 0.1616 0
10.5555555555556 0 0.1614 0.7482 0.0904 0.1614 0
10.5625 0 0.1614 0.7482 0.0904 0.1614 0
10.5694444444444 0 0.1614 0.7482 0.0904 0.1614 0
10.5763888888889 0 0.1614 0.7482 0.0904 0.1614 0
10.5833333333333 0 0.1588 0.7508 0.0904 0.1588 0
10.5902777777778 0 0.1588 0.7508 0.0904 0.1588 0
10.5972222222222 0 0.1588 0.7508 0.0904 0.1588 0
10.6041666666667 0 0.1586 0.751 0.0904 0.1586 0
10.6111111111111 0 0.1586 0.751 0.0904 0.1586 0
10.6180555555556 0 0.1586 0.751 0.0904 0.1586 0
10.625 0 0.1584 0.7512 0.0904 0.1584 0
10.6319444444444 0 0.1584 0.7512 0.0904 0.1584 0
10.6388888888889 0 0.1584 0.7512 0.0904 0.1584 0
10.6458333333333 0 0.1584 0.7512 0.0904 0.1584 0
10.6527777777778 0 0.1582 0.7514 0.0904 0.1582 0
10.6597222222222 0 0.1582 0.7514 0.0904 0.1582 0
10.6666666666667 0 0.1546 0.755 0.0904 0.1546 0
10.6736111111111 0 0.1546 0.755 0.0904 0.1546 0
10.6805555555556 0 0.1544 0.7552 0.0904 0.1544 0
10.6875 0 0.1544 0.7552 0.0904 0.1544 0
10.6944444444444 0 0.1544 0.7552 0.0904 0.1544 0
10.7013888888889 0 0.1542 0.7554 0.0904 0.1542 0
10.7083333333333 0 0.1542 0.7554 0.0904 0.1542 0
10.7152777777778 0 0.1542 0.7554 0.0904 0.1542 0
10.7222222222222 0 0.154 0.7556 0.0904 0.154 0
10.7291666666667 0 0.154 0.7556 0.0904 0.154 0
